ThunderOMLX Server API Profile
TTFT: 10186.9ms
Total time: 11.75s
Generation TPS: 82.1 tok/s

         557659 function calls (544178 primitive calls) in 11.746 seconds

   Ordered by: cumulative time
   List reduced from 2948 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      277    0.001    0.000   11.600    0.042 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:1966(_run_once)
      277    0.001    0.000   11.535    0.042 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/selectors.py:540(select)
      543   11.524    0.021   11.524    0.021 {method 'control' of 'select.kqueue' objects}
    295/3    0.001    0.000    0.151    0.050 <frozen importlib._bootstrap>:1360(_find_and_load)
    295/3    0.001    0.000    0.151    0.050 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    289/4    0.000    0.000    0.150    0.038 <frozen importlib._bootstrap>:914(_load_unlocked)
    286/4    0.000    0.000    0.150    0.038 <frozen importlib._bootstrap_external>:753(exec_module)
    850/6    0.000    0.000    0.149    0.025 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
    289/4    0.001    0.000    0.149    0.037 {built-in method builtins.exec}
    961/3    0.000    0.000    0.148    0.049 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/functools.py:1110(__get__)
    269/3    0.000    0.000    0.145    0.048 {built-in method builtins.__import__}
        1    0.000    0.000    0.145    0.145 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/_client.py:565(chat)
        1    0.000    0.000    0.144    0.144 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/__init__.py:1(<module>)
      799    0.003    0.000    0.084    0.000 {built-in method builtins.__build_class__}
  308/306    0.003    0.000    0.075    0.000 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/pydantic/_internal/_model_construction.py:83(__new__)
        1    0.000    0.000    0.074    0.074 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/beta/__init__.py:1(<module>)
        1    0.000    0.000    0.073    0.073 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/beta/beta.py:1(<module>)
      286    0.000    0.000    0.062    0.000 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/events.py:92(_run)
      138    0.000    0.000    0.057    0.000 /Users/lisihao/ThunderOMLX/profile_server_api.py:175(main)
      138    0.000    0.000    0.057    0.000 /Users/lisihao/ThunderOMLX/profile_server_api.py:13(profile_server_api)
      263    0.000    0.000    0.052    0.000 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/_streaming.py:157(__aiter__)
      263    0.001    0.000    0.052    0.000 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/_streaming.py:165(__stream__)
  308/306    0.000    0.000    0.050    0.000 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/pydantic/_internal/_model_construction.py:553(set_model_fields)
  308/306    0.004    0.000    0.050    0.000 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/pydantic/_internal/_fields.py:216(collect_model_fields)
        1    0.000    0.000    0.039    0.039 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/beta/realtime/__init__.py:1(<module>)
        1    0.000    0.000    0.039    0.039 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/beta/realtime/realtime.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/beta/realtime/sessions.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/types/beta/realtime/__init__.py:1(<module>)
      286    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.028    0.028 /Users/lisihao/ThunderOMLX/venv/lib/python3.14/site-packages/openai/resources/evals/__init__.py:1(<module>)


